iter	MultiClass
142	0.3152604713
143	0.3128236912
144	0.3107428626
145	0.3084660227
146	0.3068790997
147	0.304732539
148	0.3028587117
149	0.3009001797
150	0.2987646293
151	0.2967873918
152	0.2947521675
153	0.2925424582
154	0.2904799088
155	0.2885618866
156	0.286674902
157	0.2846384022
158	0.2827788192
159	0.2807755646
160	0.2789868626
161	0.2771817972
162	0.2754544557
163	0.2737646079
164	0.2720719683
165	0.2704187753
166	0.268614318
167	0.266744143
168	0.2651157352
169	0.2634921798
170	0.2619320704
171	0.2602146525
172	0.2585443012
173	0.2567315364
174	0.2550515082
175	0.2534906828
176	0.2519905297
177	0.2505600772
178	0.2491293615
179	0.247494959
180	0.245717417
181	0.2441733159
182	0.242783704
183	0.2413291175
184	0.2397877091
185	0.2383074087
186	0.2367880717
187	0.2354960061
188	0.2338843571
189	0.2323985865
190	0.2311830609
191	0.2297983985
192	0.2284452251
193	0.2269929631
194	0.2257271374
195	0.2242421795
196	0.2228892429
197	0.2214639547
198	0.2202725353
199	0.21899857
200	0.2176721936
201	0.2163517125
202	0.2150595761
203	0.2137418764
204	0.2125041345
205	0.211121975
206	0.2098255467
207	0.2085736629
208	0.207158114
209	0.2058383692
210	0.204533369
211	0.203423512
212	0.202593137
213	0.2013802462
214	0.2001512862
215	0.1990124632
216	0.1977340834
217	0.1966765921
218	0.1955955353
219	0.1944610086
220	0.1933793502
221	0.1922990855
222	0.1915183011
223	0.1904406673
224	0.1893713669
225	0.1882735776
226	0.1873073696
227	0.1862478754
228	0.1852772237
229	0.1843094295
230	0.1832673246
231	0.1822383068
232	0.1811950706
233	0.1802138089
234	0.1791779581
235	0.1782909673
236	0.1772675637
237	0.1763745559
238	0.1754009291
239	0.1743243678
240	0.1733138059
241	0.1723624555
242	0.1714906476
243	0.1705644266
244	0.1696314634
245	0.1686885619
246	0.1677875903
247	0.1669635117
248	0.1660636117
249	0.1652150904
250	0.164292683
251	0.1634041786
252	0.1625780516
253	0.1616814761
254	0.161082851
255	0.1601883532
256	0.159346668
257	0.1585609622
258	0.1576614451
259	0.1568321471
260	0.1560102546
261	0.1551989473
262	0.1542774905
263	0.1534991271
264	0.1528101023
265	0.1520577075
266	0.1513209507
267	0.1505988583
268	0.1497673999
269	0.1490079518
270	0.1481473723
271	0.1475228121
272	0.1467182355
273	0.145928685
274	0.1451619374
275	0.1444975025
276	0.1437939158
277	0.1430709903
278	0.1423468832
279	0.1415855809
280	0.1408617717
281	0.1401360956
282	0.1393970499
283	0.1387143808
284	0.1380614666
285	0.1375190012
286	0.1367977713
287	0.1361135296
288	0.1354484561
289	0.1348107318
290	0.1341822076
291	0.1335709204
292	0.1329797364
293	0.1323289871
294	0.1316574574
295	0.1310891304
296	0.1304823383
297	0.1298952298
298	0.1292611246
299	0.1286161973
300	0.1279839909
301	0.1274115157
302	0.1267778915
303	0.1261839643
304	0.1255697769
305	0.1250430901
306	0.1243674599
307	0.1237368644
308	0.1231408367
309	0.1226069015
310	0.1221226902
311	0.1215496577
312	0.120963555
313	0.1203147899
314	0.1197731289
315	0.1193258671
316	0.1186927584
317	0.118124004
318	0.1176213401
319	0.1170243219
320	0.116483633
321	0.1159047678
322	0.1153908846
323	0.1148318078
324	0.1143772562
325	0.1137696966
326	0.1133094477
327	0.1128194537
328	0.1123031074
329	0.1118115628
330	0.1113468219
331	0.1108491208
332	0.1103643553
333	0.109983039
334	0.1094982259
335	0.1089577812
336	0.1084518339
337	0.1079632249
338	0.1074494935
339	0.1069761593
340	0.1065368636
341	0.106120667
342	0.1056345197
343	0.1051811784
344	0.1047774044
345	0.1043070956
346	0.1038411325
347	0.103321537
348	0.1028456308
349	0.102428366
350	0.1020033452
351	0.1016068447
352	0.1011670621
353	0.1007007035
354	0.1002697155
355	0.09986326406
356	0.09945680628
357	0.09908845786
358	0.0987428416
359	0.09827684261
360	0.09787288599
361	0.09761571844
362	0.09720772297
363	0.09682102024
364	0.0963849904
365	0.09601982235
366	0.09562420137
367	0.09521773479
368	0.09481758146
369	0.09441717436
370	0.09399487931
371	0.09362783948
372	0.09325086339
373	0.09290429748
374	0.09253954472
375	0.09212347908
376	0.0917424208
377	0.09139519387
378	0.0910176243
379	0.09073861119
380	0.09035019447
381	0.09008880708
382	0.08988755828
383	0.08955442999
384	0.08922013043
385	0.08885555292
386	0.08851921287
387	0.08820133655
388	0.08786771334
389	0.08750409294
390	0.08718482225
391	0.08682400971
392	0.08650214766
393	0.08616235291
394	0.08580993441
395	0.08549064967
396	0.08510881196
397	0.08481100451
398	0.08448999299
399	0.08414055237
400	0.08380675856
401	0.08349279101
402	0.08319135049
403	0.08288359415
404	0.0826067589
405	0.08225610663
406	0.08191884054
407	0.0815810687
408	0.08129108796
409	0.08099209458
410	0.08072099002
411	0.08042012116
412	0.08014792927
413	0.07983068766
414	0.07954017712
415	0.07922770087
416	0.07893075804
417	0.07866740547
418	0.07839063689
419	0.07810728246
420	0.07780315927
421	0.07750767791
422	0.07720750605
423	0.07690952936
424	0.0766457466
425	0.07638559014
426	0.07614558093
427	0.07587090184
428	0.07560583978
429	0.0753430001
430	0.07505735738
431	0.07478691942
432	0.07457696946
433	0.07431038551
434	0.07400031692
435	0.0737354063
436	0.07347685785
437	0.07318169121
438	0.07290985561
439	0.07265634753
440	0.07236875807
441	0.07211465451
442	0.07186078427
443	0.07162022343
444	0.07137777716
445	0.0711388411
446	0.07090833861
447	0.07074501585
448	0.07050604472
449	0.07029237626
450	0.07004352075
451	0.06980777258
452	0.06953507712
453	0.06931993281
454	0.0690673595
455	0.06880485004
456	0.06857919557
457	0.06834684425
458	0.06814856063
459	0.0679146592
460	0.06768304585
461	0.06745700042
462	0.0672564165
463	0.06700952918
464	0.06677889553
465	0.06657620235
466	0.06632475556
467	0.06612421069
468	0.06591067983
469	0.06568633145
470	0.0654463254
471	0.06520630521
472	0.06504758824
473	0.06479901271
474	0.06455531315
475	0.0643375011
476	0.06411135081
477	0.06391140701
478	0.06366367906
479	0.06346957468
480	0.06326375956
481	0.06306917039
482	0.0628558901
483	0.06266642404
484	0.06251058488
485	0.06229847338
486	0.06210839608
487	0.06192926995
488	0.06169584735
489	0.06149108727
490	0.06129844471
491	0.06108353877
492	0.06088158529
493	0.06067215001
494	0.06046345312
495	0.06027310642
496	0.06008311309
497	0.05986911331
498	0.05970045905
499	0.05953363272
500	0.05933702638
501	0.05917847804
502	0.0589808987
503	0.0587954868
504	0.05860891065
505	0.05840952513
506	0.05821445466
507	0.0580077322
508	0.05781786249
509	0.05764569664
510	0.05747456945
511	0.05728309536
512	0.0571168961
513	0.05692479091
514	0.05675180067
515	0.05656723548
516	0.05638045728
517	0.05620595154
518	0.05603808225
519	0.05586869784
520	0.05568988442
521	0.05553576332
522	0.05537865613
523	0.05520344146
524	0.05505584755
525	0.05486498304
526	0.05470668199
527	0.05453424602
528	0.05435722359
529	0.05420614787
530	0.05404479589
531	0.05389621686
532	0.05373741605
533	0.05357665571
534	0.0534259467
535	0.05326560505
536	0.05309393946
537	0.05293717545
538	0.05280393616
539	0.05265782765
540	0.05252048191
541	0.0523902707
542	0.05225133551
543	0.05210691464
544	0.05195321329
545	0.05182149746
546	0.05168739328
547	0.0515572362
548	0.05141902668
549	0.05128068674
550	0.05110733644
551	0.0509329192
552	0.05076907214
553	0.05061937848
554	0.05050134583
555	0.05036244907
556	0.0502145178
557	0.0500745649
558	0.04992234668
559	0.0497792341
560	0.04964470763
561	0.04951311732
562	0.04938800015
563	0.04925432435
564	0.04912418353
565	0.04895831713
566	0.04883137896
567	0.04867501429
568	0.04860711339
569	0.0484810311
570	0.04835775478
571	0.04820919382
572	0.04807782416
573	0.04796220792
574	0.04783901032
575	0.04770999713
576	0.0475977172
577	0.04747659071
578	0.04734183359
579	0.04721245892
580	0.04706210186
581	0.04695366215
582	0.04681600666
583	0.04669216709
584	0.04654643047
585	0.04642221585
586	0.04630498161
587	0.0461631347
588	0.04602897649
589	0.04591217675
590	0.0457824706
591	0.04565668389
592	0.04553663216
593	0.04541858213
594	0.04526952291
595	0.04514648429
